system,src,tgt
Convert natural language to regular expression.,"lines with the string 'dog', 3 or more times and a lower-case letter or a letter","((dog){3,})&(([a-z])|([A-Za-z]))"
Convert natural language to regular expression.,"lines with the string 'dog', 7 or more times","(dog){7,}"
Convert natural language to regular expression.,lines ending with a lower-case letter or containing a letter,((.*)([a-z]))|(.*[A-Za-z].*)
Convert natural language to regular expression.,"lines not having a capital letter, not the string 'dog', and not the string 'truck'",~(([A-Z])&(dog)&(truck))
Convert natural language to regular expression.,"lines not having a number, the string 'dog', or a lower-case letter",~(([0-9])|(dog)|([a-z]))
Convert natural language to regular expression.,"lines with words that contain only a letter, 6 or more times","(\b[A-Za-z]\b){6,}"
Convert natural language to regular expression.,lines containing words with ending with a vowel,.*\b(.*)([AEIOUaeiou])\b.*
Convert natural language to regular expression.,"lines having a character, a lower-case letter, and a letter before the string 'dog'",((.)&([a-z])&([A-Za-z])).*(dog).*
Convert natural language to regular expression.,lines with words with a character at least once or a letter,\b((.)+)|([A-Za-z])\b
Convert natural language to regular expression.,"lines not having a letter, not a vowel, and not a number",~(([A-Za-z])&([AEIOUaeiou])&([0-9]))
Convert natural language to regular expression.,lines with a vowel before a letter or the string 'dog',([AEIOUaeiou]).*(([A-Za-z])|(dog)).*
Convert natural language to regular expression.,lines starting with a letter and a character at least once,(([A-Za-z])(.*))&((.)+)
Convert natural language to regular expression.,"lines starting with words with either a lower-case letter, the string 'dog', or the string 'truck'",(\b([a-z])|(dog)|(truck)\b)(.*)
Convert natural language to regular expression.,"lines not having the string 'dog', a number, or a letter",~((dog)|([0-9])|([A-Za-z]))
Convert natural language to regular expression.,"lines with words with the string 'dog', a number, and the string 'truck'",\b(dog)&([0-9])&(truck)\b
Convert natural language to regular expression.,"lines with a capital letter, zero or more times or ending with a lower-case letter",(([A-Z])*)|((.*)([a-z]))
Convert natural language to regular expression.,"lines having a letter, a lower-case letter, and the string 'dog' before a number",(([A-Za-z])&([a-z])&(dog)).*([0-9]).*
Convert natural language to regular expression.,"lines ending with a lower-case letter before a vowel, zero or more times",((.*)([a-z])).*(([AEIOUaeiou])*).*
Convert natural language to regular expression.,lines with a character before a vowel or a lower-case letter,(.).*(([AEIOUaeiou])|([a-z])).*
Convert natural language to regular expression.,"lines containing a letter, a capital letter, and a number",.*([A-Za-z])&([A-Z])&([0-9]).*
Convert natural language to regular expression.,"lines with words with starting with a capital letter, 2 or more times","(\b([A-Z])(.*)\b){2,}"
Convert natural language to regular expression.,lines with a number before a character or the string 'dog',([0-9]).*((.)|(dog)).*
Convert natural language to regular expression.,lines containing words with the string 'dog' and the string 'truck',.*\b(dog)&(truck)\b.*
Convert natural language to regular expression.,"lines with the string 'dog' before words with the string 'truck', zero or more times",(dog).*(\b(truck)*\b).*
Convert natural language to regular expression.,"lines with the string 'dog' and the string 'truck' or the string 'ring', zero or more times",(((dog)&(truck))|(ring))*
Convert natural language to regular expression.,"lines containing the string 'dog', a character, and the string 'truck' at least once",(.*(dog)&(.)&(truck).*)+
Convert natural language to regular expression.,"lines with words with the string 'dog' or a number, 4 or more times","(\b(dog)|([0-9])\b){4,}"
Convert natural language to regular expression.,lines with a capital letter followed by the string 'dog' before a vowel,([A-Z].*dog.*).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines ending with a character, 6 or more times","((.*)(.)){6,}"
Convert natural language to regular expression.,"lines with the string 'dog' before not the string 'truck', the string 'ring', or a character",(dog).*(~((truck)|(ring)|(.))).*
Convert natural language to regular expression.,"lines with a character followed by a vowel, 3 or more times","(..*[AEIOUaeiou].*){3,}"
Convert natural language to regular expression.,"lines containing either a character, the string 'dog', or the string 'truck'",.*(.)|(dog)|(truck).*
Convert natural language to regular expression.,"lines with words with either a capital letter, a letter, or a vowel",\b([A-Z])|([A-Za-z])|([AEIOUaeiou])\b
Convert natural language to regular expression.,lines ending with a lower-case letter followed by a letter before the string 'dog',((.*)([a-z].*[A-Za-z].*)).*(dog).*
Convert natural language to regular expression.,lines with the string 'dog' at least once before a lower-case letter,((dog)+).*([a-z]).*
Convert natural language to regular expression.,"lines having a letter, a number, and a vowel before a lower-case letter",(([A-Za-z])&([0-9])&([AEIOUaeiou])).*([a-z]).*
Convert natural language to regular expression.,lines with a capital letter before containing a vowel,([A-Z]).*(.*[AEIOUaeiou].*).*
Convert natural language to regular expression.,"lines not having a capital letter and not the string 'dog', zero or more times",~(([A-Z])&((dog)*))
Convert natural language to regular expression.,lines with a capital letter before a number,([A-Z]).*([0-9]).*
Convert natural language to regular expression.,lines not containing a number and not a vowel,~((.*[0-9].*)&([AEIOUaeiou]))
Convert natural language to regular expression.,"lines with a number or a letter, 6 or more times","(([0-9])|([A-Za-z])){6,}"
Convert natural language to regular expression.,"lines with words with either a vowel, a letter, or the string 'dog'",\b([AEIOUaeiou])|([A-Za-z])|(dog)\b
Convert natural language to regular expression.,lines with a capital letter and a vowel before a letter,(([A-Z])&([AEIOUaeiou])).*([A-Za-z]).*
Convert natural language to regular expression.,lines with a vowel followed by a capital letter before the string 'dog',([AEIOUaeiou].*[A-Z].*).*(dog).*
Convert natural language to regular expression.,"lines containing either a vowel, a lower-case letter, or a letter and a number",.*(([AEIOUaeiou])|([a-z])|([A-Za-z]))&([0-9]).*
Convert natural language to regular expression.,"lines with the string 'dog' followed by a vowel and the string 'truck', 6 or more times","(dog.*[AEIOUaeiou].*)&((truck){6,})"
Convert natural language to regular expression.,"lines ending with the string 'dog' and a character, zero or more times",((.*)(dog))&((.)*)
Convert natural language to regular expression.,lines with the string 'dog' before a capital letter,(dog).*([A-Z]).*
Convert natural language to regular expression.,"lines with a capital letter before containing a character, zero or more times",([A-Z]).*((.*..*)*).*
Convert natural language to regular expression.,"lines not having a number, a vowel, or the string 'dog'",~(([0-9])|([AEIOUaeiou])|(dog))
Convert natural language to regular expression.,"lines not having a character, not a capital letter, and not a vowel",~((.)&([A-Z])&([AEIOUaeiou]))
Convert natural language to regular expression.,"lines with a character or a letter, 2 or more times","((.)|([A-Za-z])){2,}"
Convert natural language to regular expression.,lines with a letter and a capital letter before a lower-case letter,(([A-Za-z])&([A-Z])).*([a-z]).*
Convert natural language to regular expression.,lines not having a lower-case letter or the string 'dog' before a capital letter,~(([a-z])|((dog).*([A-Z]).*))
